addr	state	modules	config_names	config_kinds	verified_name	verified_kind	verdict	proposed	note
0x02012328	DIVERGED	arm9	_ZN5Sound8PlayLongEjjjRK7Vector3s	function	_ZN5Sound8PlayLongEjjjRK7Vector3j	function	signature-fix	_ZN5Sound8PlayLongEjjjRK7Vector3s	
0x02013e80	DIVERGED	arm9	_ZN7dBase_cD1Ev	function	_ZN12ActorDerivedD1Ev	function	class-rename	_ZN7dBase_cD1Ev	
0x02013ea4	DIVERGED	arm9	_ZN7dBase_cD0Ev	function	_ZN12ActorDerivedD0Ev	function	class-rename	_ZN7dBase_cD0Ev	
0x02013ee8	DIVERGED	arm9	_ZN7dBase_c5SpawnEjP7fBase_cii	function	_ZN12ActorDerived5SpawnEjP9ActorBaseii	function	class-rename+arg-rename	_ZN7dBase_c5SpawnEjP7fBase_cii	
0x02013ef4	DIVERGED	arm9	_ZN7dBase_c18AfterInitResourcesEj	function	_ZN12ActorDerived18AfterInitResourcesEj	function	class-rename	_ZN7dBase_c18AfterInitResourcesEj	
0x020147d4	DIVERGED	arm9	_ZN8dCcPos_c4InitERK7Vector35Fix12IiES4_jj	function	_ZN19CylinderClsnWithPos4InitERK7Vector35Fix12IiES4_jj	function	class-rename	_ZN8dCcPos_c4InitERK7Vector35Fix12IiES4_jj	
0x02014818	DIVERGED	arm9	_ZN8dCcPos_c10GetOwnerIDEv	function	_ZN19CylinderClsnWithPos10GetOwnerIDEv	function	class-rename	_ZN8dCcPos_c10GetOwnerIDEv	
0x02014820	DIVERGED	arm9	_ZN8dCcPos_c6GetPosEv	function	_ZN19CylinderClsnWithPos6GetPosEv	function	class-rename	_ZN8dCcPos_c6GetPosEv	
0x02014828	DIVERGED	arm9	_ZN8dCcPos_cD0Ev	function	_ZN19CylinderClsnWithPosD0Ev	function	class-rename	_ZN8dCcPos_cD0Ev	
0x02014854	DIVERGED	arm9	_ZN8dCcPos_cD1Ev	function	_ZN19CylinderClsnWithPosD1Ev	function	class-rename	_ZN8dCcPos_cD1Ev	
0x02014878	DIVERGED	arm9	_ZN8dCcPos_cC1Ev	function	_ZN19CylinderClsnWithPosC1Ev	function	class-rename	_ZN8dCcPos_cC1Ev	
0x0201489c	DIVERGED	arm9	_ZN10dCcAcPos_c21SetPosRelativeToActorERK7Vector3	function	_ZN25MovingCylinderClsnWithPos21SetPosRelativeToActorERK7Vector3	function	class-rename	_ZN10dCcAcPos_c21SetPosRelativeToActorERK7Vector3	
0x020148c8	DIVERGED	arm9	_ZN10dCcAcPos_c4InitEP8dActor_cRK7Vector35Fix12IiES6_jj	function	_ZN25MovingCylinderClsnWithPos4InitEP5ActorRK7Vector35Fix12IiES6_jj	function	class-rename+arg-rename	_ZN10dCcAcPos_c4InitEP8dActor_cRK7Vector35Fix12IiES6_jj	
0x0201490c	DIVERGED	arm9	_ZN7dCcAc_c4InitEP8dActor_c5Fix12IiES3_jj	function	_ZN18MovingCylinderClsn4InitEP5Actor5Fix12IiES3_jj	function	class-rename+arg-rename	_ZN7dCcAc_c4InitEP8dActor_c5Fix12IiES3_jj	
0x0201493c	DIVERGED	arm9	_ZN7dCcAc_c10GetOwnerIDEv	function	_ZN18MovingCylinderClsn10GetOwnerIDEv	function	class-rename	_ZN7dCcAc_c10GetOwnerIDEv	
0x02014948	DIVERGED	arm9	_ZN7dCcAc_c6GetPosEv	function	_ZN18MovingCylinderClsn6GetPosEv	function	class-rename	_ZN7dCcAc_c6GetPosEv	
0x02014954	DIVERGED	arm9	_ZN7dCcAc_cD2Ev	function	_ZN18MovingCylinderClsnD2Ev	function	class-rename	_ZN7dCcAc_cD2Ev	
0x02014978	DIVERGED	arm9	_ZN7dCcAc_cD0Ev	function	_ZN18MovingCylinderClsnD0Ev	function	class-rename	_ZN7dCcAc_cD0Ev	
0x020149a4	DIVERGED	arm9	_ZN7dCcAc_cD1Ev	function	_ZN18MovingCylinderClsnD1Ev	function	class-rename	_ZN7dCcAc_cD1Ev	
0x020149c8	DIVERGED	arm9	_ZN7dCcAc_cC1Ev	function	_ZN18MovingCylinderClsnC1Ev	function	class-rename	_ZN7dCcAc_cC1Ev	
0x020149f4	DIVERGED	arm9	_ZN7dCcAc_cC2Ev	function	_ZN18MovingCylinderClsnC2Ev	function	class-rename	_ZN7dCcAc_cC2Ev	
0x02014a2c	DIVERGED	arm9	_ZN10dCcAcPos_c6GetPosEv	function	_ZN25MovingCylinderClsnWithPos6GetPosEv	function	class-rename	_ZN10dCcAcPos_c6GetPosEv	
0x02014a34	DIVERGED	arm9	_ZN10dCcAcPos_cD0Ev	function	_ZN25MovingCylinderClsnWithPosD0Ev	function	class-rename	_ZN10dCcAcPos_cD0Ev	
0x02014a60	DIVERGED	arm9	_ZN10dCcAcPos_cD1Ev	function	_ZN25MovingCylinderClsnWithPosD1Ev	function	class-rename	_ZN10dCcAcPos_cD1Ev	
0x02014a84	DIVERGED	arm9	_ZN10dCcAcPos_cC1Ev	function	_ZN25MovingCylinderClsnWithPosC1Ev	function	class-rename	_ZN10dCcAcPos_cC1Ev	
